ambientTemp,objectTemp,humidity,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,TimeStamp,DERAIL
22.25,15.88,45.85015,-0.83,0.02,-0.06,-87.45,9.88,0.17,51.72,100.43,-120.97,1466606724.274684,0
22.25,15.88,45.85015,-0.83,0.02,-0.06,-87.45,9.88,0.17,51.72,100.43,-120.97,1466606724.344594,0
22.25,15.88,45.85015,-0.83,0.02,-0.06,-87.45,9.88,0.17,51.72,100.43,-120.97,1466606724.574569,0
22.25,15.88,45.85015,-0.83,0.02,-0.06,-87.45,9.88,0.17,51.72,100.43,-120.97,1466606724.994631,0
22.25,15.88,45.85015,-0.83,0.02,-0.06,-87.45,9.88,0.17,51.72,100.43,-120.97,1466606725.064598,0
22.25,15.66,45.85015,-0.83,0.02,-0.06,-87.45,9.88,0.17,51.72,100.43,-120.97,1466606725.154662,0
22.25,15.66,45.85015,-0.74,-0.02,-0.36,-88.33,13.09,-3.70,17.69,122.02,-94.44,1466606725.484662,0
22.25,15.66,45.85015,-0.74,-0.02,-0.36,-88.33,13.09,-3.70,17.69,122.02,-94.44,1466606725.554546,0
22.25,15.66,45.85015,-0.74,-0.02,-0.36,-88.33,13.09,-3.70,17.69,122.02,-94.44,1466606725.744658,0
22.25,15.66,45.85015,-1.34,0.13,-0.05,-79.94,8.15,-1.19,38.38,95.34,-52.92,1466606726.014606,0
22.25,15.66,45.85015,-1.34,0.13,-0.05,-79.94,8.15,-1.19,38.38,95.34,-52.92,1466606726.1446,0
22.25,15.66,45.85015,-1.34,0.13,-0.05,-79.94,8.15,-1.19,38.38,95.34,-52.92,1466606726.429545,0
22.25,15.66,45.85015,-1.34,0.13,-0.05,-79.94,8.15,-1.19,38.38,95.34,-52.92,1466606726.634637,0
22.25,15.66,45.85015,-1.34,0.13,-0.05,-79.94,8.15,-1.19,38.38,95.34,-52.92,1466606726.934529,0
22.25,15.84,45.85015,-1.13,0.00,-0.00,-27.68,-10.77,-3.88,37.03,116.32,-115.42,1466606727.014602,0
